,apr,pairname,liquidity
42,60.63%,TKO-BNB,"$23,324,035"
43,236.21%,APYS-BNB,"$5,986,338"
44,204.02%,HOO-BUSD,"$6,930,911"
45,216.53%,ODDZ-BNB,"$6,530,418"
46,278.81%,EASY-BNB,"$5,071,811"
47,133.02%,NRV-BNB,"$10,630,329"
48,111.14%,DEGO-BNB,"$6,361,474"
49,181.9%,GUM-BNB,"$7,773,867"
50,50.31%,PBTC-BNB,"$28,105,752"
51,189.84%,DFT-BNB,"$7,448,694"
52,235.36%,SWTH-BNB,"$6,007,928"
53,216.93%,LIEN-BNB,"$6,518,591"
54,60.71%,ZIL-BNB,"$23,291,610"
55,144.71%,PCWS-BNB,"$9,771,681"
56,92.73%,BBADGER-BTCB,"$15,248,739"
57,116.39%,BDIGG-BTCB,"$12,149,001"
58,106.97%,LTO-BNB,"$6,609,791"
59,84.4%,MIR-UST,"$8,377,174"
60,201.23%,TRADE-BNB,"$3,513,453"
61,147.89%,DUSK-BNB,"$4,780,783"
62,57.7%,BIFI-BNB,"$12,252,676"
63,209.17%,TXL-BUSD,"$3,380,144"
64,140.49%,COS-BNB,"$5,032,402"
65,23.02%,BUNNY-BNB,"$61,418,890"
66,60.17%,ALICE-BNB,"$11,751,321"
67,160.16%,FOR-BUSD,"$8,828,963"
68,156.22%,BUX-BNB,"$4,525,737"
69,81.02%,NULS-BUSD,"$8,727,097"
70,121.07%,BELT-BNB,"$11,679,949"
71,99.71%,RAMP-BUSD,"$7,090,815"
72,199.67%,BFI-BNB,"$2,124,635"
73,175.36%,DEXE-BUSD,"$4,031,774"
74,75%,BEL-BNB,"$9,427,097"
75,81.13%,TPT-BUSD,"$17,428,459"
76,140.71%,WATCH-BNB,"$10,049,371"
77,77.69%,IOTX-BUSD,"$9,101,173"
78,104.14%,BOR-BNB,"$6,789,364"
79,128.42%,BOPEN-BNB,"$5,505,460"
80,15.61%,SUSHI-ETH,"$27,176,084"
81,55.5%,DODO-BNB,"$12,738,806"
82,108.42%,BRY-BNB,"$6,521,252"
83,147.49%,ZEE-BNB,"$4,793,603"
84,179.51%,SWGB-BNB,"$3,938,586"
85,4.51%,COMP-ETH,"$31,356,822"
86,44.69%,SFP-BNB,"$31,644,384"
87,99.2%,LINA-BUSD,"$7,127,524"
88,63.73%,LIT-BNB,"$11,093,819"
89,55.39%,HGET-BNB,"$2,553,130"
90,232.19%,BDO-BNB,"$3,045,085"
91,32.92%,EGLD-BNB,"$4,295,283"
92,14.16%,UST-BUSD,"$49,927,891"
93,45.92%,MAMZN-UST,"$3,079,179"
94,39.77%,MGOOGL-UST,"$3,555,325"
95,51.38%,MNFLX-UST,"$2,752,053"
96,53.39%,MTSLA-UST,"$2,648,570"
97,63.65%,WSOTE-BNB,"$11,108,076"
98,89.6%,FRONT-BNB,"$7,891,351"
99,40.85%,HELMET-BNB,"$17,307,871"
100,147.37%,BTCST-BNB,"$9,595,467"
101,9.82%,LTC-BNB,"$14,394,496"
102,9.22%,USDC-BUSD,"$76,712,597"
103,9.48%,DAI-BUSD,"$74,605,454"
104,157.15%,BSCX-BNB,"$8,998,008"
105,169.39%,TEN-BNB,"$4,173,955"
106,151.89%,BALBT-BNB,"$4,654,923"
107,63.56%,REEF-BNB,"$22,246,502"
108,181.54%,DITTO-BNB,"$3,894,567"
109,10.98%,VAI-BUSD,"$64,381,642"
110,127.02%,BLK-BNB,"$1,113,261"
111,42.88%,UNFI-BNB,"$3,297,565"
112,45.04%,HARD-BNB,"$3,139,771"
113,39.61%,CTK-BNB,"$3,570,019"
114,40.03%,SXP-BNB,"$17,663,885"
115,50.04%,INJ-BNB,"$14,130,532"
116,26.15%,FIL-BNB,"$5,407,247"
117,22.37%,UNI-BNB,"$63,218,011"
118,13.95%,YFI-BNB,"$10,135,564"
119,20.36%,ATOM-BNB,"$6,944,699"
120,30.1%,XRP-BNB,"$46,984,683"
121,14.98%,USDT-BNB,"$188,826,049"
122,38.19%,ALPHA-BNB,"$37,030,391"
123,13.55%,BTCB-BNB,"$208,689,770"
124,12.72%,ETH-BNB,"$222,342,303"
125,43.77%,XVS-BNB,"$32,303,791"
126,71.18%,TWT-BNB,"$19,864,688"
127,8.43%,USDT-BUSD,"$335,652,417"
128,25.48%,LINK-BNB,"$55,498,751"
129,10.16%,EOS-BNB,"$13,914,126"
130,18.51%,DOT-BNB,"$76,399,368"
131,46.29%,BAND-BNB,"$30,544,453"
132,20.49%,ADA-BNB,"$34,507,161"
